,Row.names,weight,percent,V1,V2,V3,V4,V5,V6,V7,V8,V9,,,,,,,,,,,,,,,,,
,902201,Create a stylish home at affordable prices,6,Topic 4.2.,NA,0.000170354,0.000170354,0.000170354,0.999318582,0.000170354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004338414,0.986984759,0.004338414,0.004338414,NA,NA,NA,NA
,902203,lots of variety with free returns,1.533702711,Topic 5.1.,Topic 2.3.,0.000233785,0.318899152,0.000233785,0.000233785,0.680399493,NA,NA,NA,NA,0.017094365,0.017094365,0.965811271,NA,NA,NA,NA,NA,NA,NA,NA,0.982601439,0.00579952,0.00579952,0.00579952
,902218,the bay has decor options,6,Topic 4.2.,Topic 3.4.,0.000125496,0.000125496,0.41258754,0.587035974,0.000125496,NA,NA,NA,NA,NA,NA,NA,0.017761119,0.017761119,0.017761119,0.946716643,0.00391136,0.98826592,0.00391136,0.00391136,NA,NA,NA,NA
,902221,Variety of home decor,0.5,Topic 4.,NA,8.19E-05,8.19E-05,8.19E-05,0.798920694,0.200833717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,902227,they have a variety of decor,2.923577738,Topic 4.,Topic 5.,0.000145856,0.000145856,0.000145856,0.641744031,0.3578184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,902228,Hudson Bay has unique home decor and furniture.,0.5,Topic 4.1.,Topic 3.4.,7.28E-05,7.28E-05,0.282393554,0.717387985,7.28E-05,NA,NA,NA,NA,NA,NA,NA,0.004177765,0.004177765,0.004177765,0.987466704,0.99158088,0.002806373,0.002806373,0.002806373,NA,NA,NA,NA
,902229,They have a wide variety of home decor,0.5,Topic 5.2.,Topic 4.3.,7.63E-05,7.63E-05,7.63E-05,0.744958167,0.254812832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001877943,0.001877943,0.994366172,0.001877943,0.001216428,0.996350716,0.001216428,0.001216428
,902230,Don't know,0.5,Topic 1.,NA,0.997025747,0.000743563,0.000743563,0.000743563,0.000743563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,902231,A place to buy home decor,0.5,Topic 4.2.,NA,9.01E-05,0.109380567,9.01E-05,0.890349241,9.01E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009554181,0.971337458,0.009554181,0.009554181,NA,NA,NA,NA
,902232,"it sold furniture for a home in an upbeat type of way. not necessarily like ikea would, per se.",2.200306278,Topic 4.3.,Topic 5.4.,0.000107724,0.065101761,0.000107724,0.627248988,0.307433804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00098945,0.00098945,0.822996551,0.175024549,0.298517211,0.002060908,0.002060908,0.697360973
1,902241,It has something for every type of person,0.5,Topic 5.4.,NA,0.000379623,0.000379623,0.000379623,0.000379623,0.998481507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009975599,0.009975599,0.009975599,0.970073202
,902249,Different kind of product in home decorations,3.360240838,Topic 4.2.,Topic 5.4.,6.97E-05,6.97E-05,6.97E-05,0.680656715,0.319134068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.018404983,0.94478505,0.018404983,0.018404983,0.035636457,0.035636457,0.035636457,0.893090629
,902250,No idea,0.5,Topic 1.,NA,0.997025747,0.000743563,0.000743563,0.000743563,0.000743563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,902252,everything at hudson bsy,6,Topic 3.,NA,0.000220739,0.000220739,0.999117045,0.000220739,0.000220739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,902258,sells modern home decor,0.5,Topic 4.3.,NA,9.53E-05,9.53E-05,9.53E-05,0.99961892,9.53E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001971099,0.001971099,0.994086702,0.001971099,NA,NA,NA,NA
,902264,home decor,4.019842932,Topic 4.,NA,0.000102424,0.000102424,0.000102424,0.999590304,0.000102424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,902266,We something for everyone and every home.,0.5,Topic 4.2.,NA,0.000174103,0.000174103,0.000174103,0.999303586,0.000174103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004870151,0.985389547,0.004870151,0.004870151,NA,NA,NA,NA
,902268,The has a selection of home decor,4.441614755,Topic 4.,NA,8.19E-05,8.19E-05,8.19E-05,0.798920694,0.200833717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,902270,that the store has a lot of good products for home,1.802243384,Topic 4.2.,Topic 5.4.,9.48E-05,0.144649561,9.48E-05,0.524036176,0.331124636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003019641,0.990941078,0.003019641,0.003019641,0.005089338,0.005089338,0.005089338,0.984731986
,902273,Many household items available for online ordering.,2.544338907,Topic 2.3.,Topic 4.1.,0.000107724,0.421293453,0.000107724,0.578383376,0.000107724,NA,NA,NA,NA,0.003149673,0.003149673,0.993700653,NA,NA,NA,NA,0.99213627,0.002621243,0.002621243,0.002621243,NA,NA,NA,NA
,902280,The Bay stripes,1.348851664,Topic 3.1.,NA,0.00029043,0.00029043,0.99883828,0.00029043,0.00029043,NA,NA,NA,NA,NA,NA,NA,0.972377094,0.009207635,0.009207635,0.009207635,NA,NA,NA,NA,NA,NA,NA,NA
,902282,That the retailer has a lot of great styles for anyone and at affordable prices,2.267536732,Topic 5.1.,Topic 2.2.,0.000254874,0.666987364,0.000254874,0.000254874,0.332248014,NA,NA,NA,NA,0.46524323,0.531191632,0.003565138,NA,NA,NA,NA,NA,NA,NA,NA,0.993494692,0.002168436,0.002168436,0.002168436
,902290,lots of stuff,6,Topic 2.,NA,0.000323704,0.998705184,0.000323704,0.000323704,0.000323704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,902294,I liked the message and pictures,1.118809637,Topic 1.3.,NA,0.993179363,0.001705159,0.001705159,0.001705159,0.001705159,0.007392061,0.007392061,0.977823818,0.007392061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,902295,We have great products.,0.5,Topic 5.,NA,0.000308554,0.000308554,0.000308554,0.000308554,0.998765785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,902301,Shop there,1.802243384,Topic 3.4.,NA,0.00145438,0.00145438,0.99418248,0.00145438,0.00145438,NA,NA,NA,NA,NA,NA,NA,0.002106483,0.002106483,0.002106483,0.99368055,NA,NA,NA,NA,NA,NA,NA,NA
,902302,seen before,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,902308,That you can furnish your home beautifully from this retailer,3.709372069,Topic 4.3.,NA,9.98E-05,9.98E-05,9.98E-05,0.999600645,9.98E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007702215,0.007702215,0.976893354,0.007702215,NA,NA,NA,NA
1,902309,Thanks share your time and I met,5.450942639,Topic 1.3.,NA,0.993960418,0.001509895,0.001509895,0.001509895,0.001509895,0.007392061,0.007392061,0.977823818,0.007392061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,902313,"Well, I think the message is that this store has everything one needs to decorate and upgrade their house decor?from furniture, to wall art to throws?you can buy everything for your needs at this store.",0.5,Topic 4.4.,Topic 4.2.,0.02287665,0.128389773,0.164949919,0.683715832,6.78E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00067167,0.440165313,0.00067167,0.558491347,NA,NA,NA,NA
,902325,That a wide variety of products are available to purchase.,3.906284712,Topic 5.2.,NA,0.00014694,0.182185288,0.00014694,0.00014694,0.817373893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.128722093,0.869155632,0.001061138,0.001061138
,902330,It was about home decor,6,Topic 4.,NA,0.000102424,0.000102424,0.000102424,0.999590304,0.000102424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,902332,This retailer has a large selection of home decor items.,6,Topic 5.2.,Topic 4.3.,6.63E-05,0.121829452,6.63E-05,0.652813348,0.225224505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001518994,0.001518994,0.995443018,0.001518994,0.001088941,0.996733178,0.001088941,0.001088941
,902337,That The Bay has products for every day use.,3.17886354,Topic 3.1.,Topic 5.1.,0.000180458,0.000180458,0.62364427,0.000180458,0.375814357,NA,NA,NA,NA,NA,NA,NA,0.972377094,0.009207635,0.009207635,0.009207635,NA,NA,NA,NA,0.970073202,0.009975599,0.009975599,0.009975599
,902345,You can buy everything you need for your home at the Bay,0.525781325,Topic 3.3.,Topic 4.4.,8.22E-05,0.099833836,0.459266763,0.440734996,8.22E-05,NA,NA,NA,NA,NA,NA,NA,0.001153408,0.001153408,0.996539775,0.001153408,0.001518994,0.001518994,0.001518994,0.995443018,NA,NA,NA,NA
,902360,Relax life style with the product in the bay,1.953089416,Topic 3.2.,Topic 5.1.,0.000163321,0.000163321,0.664513365,0.000163321,0.334996673,NA,NA,NA,NA,NA,NA,NA,0.002106483,0.99368055,0.002106483,0.002106483,NA,NA,NA,NA,0.986397664,0.004534112,0.004534112,0.004534112
,902361,Lots of options for your home.,0.5,Topic 4.2.,Topic 2.1.,0.000142699,0.219699009,0.000142699,0.779872893,0.000142699,NA,NA,NA,NA,0.982455774,0.008772113,0.008772113,NA,NA,NA,NA,0.00391136,0.98826592,0.00391136,0.00391136,NA,NA,NA,NA
,902362,Home decor,6,Topic 4.,NA,0.000102424,0.000102424,0.000102424,0.999590304,0.000102424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,902365,That they sell home decor that fits you no matter what your mood.,1.802243384,Topic 4.3.,NA,9.30E-05,9.30E-05,9.30E-05,0.999627882,9.30E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001518994,0.001518994,0.995443018,0.001518994,NA,NA,NA,NA
,902373,Variety of products available,3.820739241,Topic 5.1.,NA,0.00021244,0.00021244,0.00021244,0.00021244,0.999150239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.975865961,0.00804468,0.00804468,0.00804468
,902374,shshdb,1.16234507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,902383,find everything to decorate,0.5,Topic 4.2.,Topic 3.3.,0.000160667,0.000160667,0.259230784,0.740287215,0.000160667,NA,NA,NA,NA,NA,NA,NA,0.002701831,0.002701831,0.991894506,0.002701831,0.002621243,0.99213627,0.002621243,0.002621243,NA,NA,NA,NA
,902390,it showed the colored HBC blanket in video,2.030366556,Topic 1.4.,NA,0.996909561,0.00077261,0.00077261,0.00077261,0.00077261,0.003751493,0.003751493,0.003751493,0.988745521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,902393,Just a guess,3.785571182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,902394,You can find everything for the home here.,1.173882166,Topic 4.2.,Topic 3.3.,0.000139184,0.000139184,0.220395491,0.779186955,0.000139184,NA,NA,NA,NA,NA,NA,NA,0.002701831,0.002701831,0.991894506,0.002701831,0.002621243,0.99213627,0.002621243,0.002621243,NA,NA,NA,NA
,902396,The store had fun and functional home decor.,2.51490253,Topic 4.2.,NA,9.37E-05,9.37E-05,9.37E-05,0.999625238,9.37E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002188193,0.99343542,0.002188193,0.002188193,NA,NA,NA,NA
,902399,Lots items to shop for what ever you go or do in your lifestyle,2.789686718,Topic 2.2.,NA,0.000254874,0.817446063,0.181789314,0.000254874,0.000254874,NA,NA,NA,NA,0.010471422,0.979057157,0.010471422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,902401,"They are reliable, been around a long time, trustworthy",0.5,Topic 1.3.,NA,0.950520781,0.012369805,0.012369805,0.012369805,0.012369805,0.017695322,0.017695322,0.946914033,0.017695322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,902402,"Look at us at the Bay, we want to look like Ikea Buy from us - we have home decor items",2.923577738,Topic 3.3.,Topic 4.2.,5.88E-05,0.188233914,0.215455016,0.596193554,5.88E-05,NA,NA,NA,NA,NA,NA,NA,0.001651578,0.001651578,0.821368875,0.17532797,0.001411107,0.699585421,0.001411107,0.297592365,NA,NA,NA,NA
1,902406,the bay has modern and trendy decor for your home,0.927392549,Topic 4.3.,Topic 3.1.,7.49E-05,7.49E-05,0.246197527,0.753577808,7.49E-05,NA,NA,NA,NA,NA,NA,NA,0.946716643,0.017761119,0.017761119,0.017761119,0.009554181,0.009554181,0.971337458,0.009554181,NA,NA,NA,NA
,902408,They sell home furnishing and decor items.,6,Topic 4.3.,NA,8.31E-05,0.142903518,8.31E-05,0.856847283,8.31E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002188193,0.002188193,0.99343542,0.002188193,NA,NA,NA,NA
,902415,You can get all of your home decor at the Bay,3.581235628,Topic 4.,NA,7.66E-05,7.66E-05,0.2519207,0.747849412,7.66E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,902418,Products for you and your home,3.384694633,Topic 4.,NA,0.000134912,0.000134912,0.000134912,0.723181504,0.27641376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,902419,Marketing products,6,Topic 5.,NA,0.000487155,0.000487155,0.000487155,0.000487155,0.99805138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,902421,Products you can buy online to decorate your home,0.5,Topic 4.1.,NA,7.40E-05,0.125478298,7.40E-05,0.72266586,0.151707748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.986984759,0.004338414,0.004338414,0.004338414,NA,NA,NA,NA
,902425,The bay has all the decor trends young professional people could want.,0.5,Topic 3.2.,Topic 4.4.,0.000113929,0.000113929,0.496550379,0.503107834,0.000113929,NA,NA,NA,NA,NA,NA,NA,0.001462125,0.995613624,0.001462125,0.001462125,0.001644744,0.001644744,0.001644744,0.995065768,NA,NA,NA,NA
,902429,That they sell home decor,0.5,Topic 4.3.,NA,9.69E-05,9.69E-05,9.69E-05,0.999612385,9.69E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002188193,0.002188193,0.99343542,0.002188193,NA,NA,NA,NA
,902432,advertising decor,0.5,Topic 4.,NA,0.000227075,0.000227075,0.000227075,0.999091701,0.000227075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,902434,The store has home decor options,0.5,Topic 4.2.,NA,9.41E-05,9.41E-05,9.41E-05,0.999623454,9.41E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001715764,0.994852708,0.001715764,0.001715764,NA,NA,NA,NA
,902439,You can get decorations from this retail,0.5,Topic 4.3.,NA,0.000214747,0.000214747,0.000214747,0.999141012,0.000214747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007702215,0.007702215,0.976893354,0.007702215,NA,NA,NA,NA
,902451,"I though the ad was very well crafted and kept my attention, though I found it a little distracting thereby losing the focus on the message. I believe I read free shipping?",2.923577738,Topic 1.3.,NA,0.997371603,0.000657099,0.000657099,0.000657099,0.000657099,0.002691176,0.002691176,0.991926472,0.002691176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,902454,buy their stuff,6,Topic 2.,NA,0.000340419,0.998638325,0.000340419,0.000340419,0.000340419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,902465,?,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,902467,That Hudson Bay has everything you could ever need.,0.5,Topic 3.3.,NA,0.000178826,0.000178826,0.999284696,0.000178826,0.000178826,NA,NA,NA,NA,NA,NA,NA,0.001153408,0.001153408,0.996539775,0.001153408,NA,NA,NA,NA,NA,NA,NA,NA
,902476,Thanks,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,902480,The Bay offers varying price ranges in their product line to suit differing lifestyles.,0.5,Topic 5.3.,Topic 3.2.,0.000108611,0.000108611,0.414286278,0.000108611,0.585387889,NA,NA,NA,NA,NA,NA,NA,0.318760699,0.678702973,0.001268164,0.001268164,NA,NA,NA,NA,0.001475553,0.001475553,0.995573342,0.001475553
,902482,Lots of home decor options,4.304358247,Topic 4.2.,NA,8.77E-05,0.131233609,8.77E-05,0.868503385,8.77E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00391136,0.98826592,0.00391136,0.00391136,NA,NA,NA,NA
,902484,The main message was that this retailer has the products that a person needs to decorate and to enjoy their home.,0.5,Topic 4.4.,NA,0.028091692,7.19E-05,0.07819771,0.732876649,0.160762055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.104071476,0.000720378,0.000720378,0.894487769,NA,NA,NA,NA
1,902485,The Bay sells a wide range of products for home living.,3.906284712,Topic 4.3.,Topic 3.1.,6.76E-05,6.76E-05,0.223208772,0.38838586,0.38827018,NA,NA,NA,NA,NA,NA,NA,0.993312132,0.002229289,0.002229289,0.002229289,0.000860836,0.000860836,0.997417492,0.000860836,0.000920173,0.753694761,0.000920173,0.244464892
,902491,latest styles,0.5,Topic 3.2.,NA,0.001267908,0.001267908,0.994928369,0.001267908,0.001267908,NA,NA,NA,NA,NA,NA,NA,0.002106483,0.99368055,0.002106483,0.002106483,NA,NA,NA,NA,NA,NA,NA,NA
,902492,they offer a wide variety of home decor,2.030366556,Topic 5.2.,Topic 4.3.,7.23E-05,7.23E-05,7.23E-05,0.720925973,0.278857163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.474109497,0.00098945,0.523911603,0.00098945,0.000900242,0.737369093,0.260830424,0.000900242
,902494,just showing what they have for furniture and that you can order it,1.533702711,Topic 2.3.,NA,0.001009136,0.995963454,0.001009136,0.001009136,0.001009136,NA,NA,NA,NA,0.003344553,0.003344553,0.993310895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,902496,They have items you can order online,6,Topic 2.3.,NA,0.00042443,0.998302281,0.00042443,0.00042443,0.00042443,NA,NA,NA,NA,0.003816875,0.003816875,0.99236625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,902499,The they have a lot of choices for home decor,0.878567749,Topic 4.,NA,7.36E-05,0.100463747,7.36E-05,0.718613914,0.180775071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,902500,Color on mug is Bay Trade Mark,0.748000714,Topic 1.4.,Topic 3.1.,0.226159679,0.000235175,0.773134796,0.000235175,0.000235175,0.006190558,0.006190558,0.006190558,0.981428326,NA,NA,NA,0.900502065,0.033165978,0.033165978,0.033165978,NA,NA,NA,NA,NA,NA,NA,NA
,902501,don?t know,1.176655566,Topic 1.,NA,0.997025747,0.000743563,0.000743563,0.000743563,0.000743563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,902510,Home decor,2.544338907,Topic 4.,NA,0.000102424,0.000102424,0.000102424,0.999590304,0.000102424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,902511,They have all your decorating needs,1.445910336,Topic 4.4.,NA,0.000182962,0.000182962,0.194445056,0.805006059,0.000182962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001518994,0.001518994,0.001518994,0.995443018,NA,NA,NA,NA
,902513,You can buy lots of nice stuff there,0.5,Topic 2.2.,NA,0.000219514,0.999121945,0.000219514,0.000219514,0.000219514,NA,NA,NA,NA,0.012987281,0.974025439,0.012987281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,902514,They have products everyone will like,2.859553004,Topic 5.3.,NA,0.000376015,0.000376015,0.000376015,0.000376015,0.998495941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005089338,0.005089338,0.984731986,0.005089338
,902517,All the products that have for your home,1.348851664,Topic 4.,NA,0.000134912,0.000134912,0.000134912,0.723181504,0.27641376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,902522,That there is a product for all tastes,0.5,Topic 3.2.,Topic 5.1.,0.000352555,0.000352555,0.272122212,0.000352555,0.726820122,NA,NA,NA,NA,NA,NA,NA,0.002106483,0.99368055,0.002106483,0.002106483,NA,NA,NA,NA,0.986397664,0.004534112,0.004534112,0.004534112
,902527,lots of home decor to choose from,4.217716558,Topic 4.2.,NA,8.89E-05,0.121380754,8.89E-05,0.878352696,8.89E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009554181,0.971337458,0.009554181,0.009554181,NA,NA,NA,NA
,902543,They have a wide variety of stuff,0.5,Topic 5.2.,Topic 2.2.,0.000197584,0.339861766,0.000197584,0.000197584,0.659545482,NA,NA,NA,NA,0.025000496,0.949999009,0.025000496,NA,NA,NA,NA,NA,NA,NA,NA,0.001216428,0.996350716,0.001216428,0.001216428
,902544,Has a variety of items that you might need,0.5,Topic 3.3.,Topic 2.2.,0.000190909,0.328379852,0.202895784,0.000190909,0.468342546,NA,NA,NA,NA,0.025000496,0.949999009,0.025000496,0.001153408,0.001153408,0.996539775,0.001153408,NA,NA,NA,NA,0.942443064,0.019185645,0.019185645,0.019185645
,902545,that HBC has many options,0.5,Topic 2.1.,NA,0.000540398,0.997838409,0.000540398,0.000540398,0.000540398,NA,NA,NA,NA,0.986754688,0.006622656,0.006622656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,902555,"Has good quality products for everyone, every day. For young couples. Easy shopping experience.",0.702513064,Topic 5.1.,Topic 5.3.,0.000209072,0.000209072,0.000209072,0.000209072,0.999163713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.506375762,0.00196354,0.489697157,0.00196354
,902560,neat stuff to buy,0.5,Topic 2.2.,NA,0.000313444,0.998746225,0.000313444,0.000313444,0.000313444,NA,NA,NA,NA,0.012987281,0.974025439,0.012987281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,902567,To get customers interested in home decor.,2.049228716,Topic 4.2.,NA,0.000101634,0.000101634,0.000101634,0.999593462,0.000101634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.018404983,0.94478505,0.018404983,0.018404983,NA,NA,NA,NA
,902574,get a nice home,0.5,Topic 4.4.,NA,0.000178021,0.000178021,0.000178021,0.999287915,0.000178021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007702215,0.007702215,0.007702215,0.976893354,NA,NA,NA,NA
,902575,You can find everything you need when planning or changing your home decor.,0.5,Topic 3.3.,Topic 4.4.,7.80E-05,7.80E-05,0.213833971,0.785932062,7.80E-05,NA,NA,NA,NA,NA,NA,NA,0.00074754,0.00074754,0.997757379,0.00074754,0.000899824,0.385796417,0.000899824,0.612403935,NA,NA,NA,NA
,902578,The brand has in stock quality decoration products.,6,Topic 5.3.,Topic 4.2.,0.000145856,0.000145856,0.000145856,0.645263756,0.354298675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006451641,0.980645078,0.006451641,0.006451641,0.004088115,0.004088115,0.987735655,0.004088115
,902584,No idea,5.450942639,Topic 1.,NA,0.997025747,0.000743563,0.000743563,0.000743563,0.000743563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,902586,That they have many modern up to date products which you can get online with free shipping.,1.395962851,Topic 2.3.,Topic 5.1.,0.098222093,0.402829436,0.000218302,0.000218302,0.498511867,NA,NA,NA,NA,0.003816875,0.003816875,0.99236625,NA,NA,NA,NA,NA,NA,NA,NA,0.990530152,0.003156616,0.003156616,0.003156616
,902587,colors,5.450942639,Topic 1.,NA,0.994760422,0.001309895,0.001309895,0.001309895,0.001309895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,902589,home decor,0.5,Topic 4.,NA,0.000102424,0.000102424,0.000102424,0.999590304,0.000102424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,902590,They sell all the furnishing with free return/shipping,2.308614634,Topic 4.3.,Topic 4.2.,0.086630049,0.000176433,0.000176433,0.912840651,0.000176433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001198328,0.453565005,0.54403834,0.001198328,NA,NA,NA,NA
,902597,The Bay has all your home decor needs,0.5,Topic 3.3.,Topic 4.4.,7.09E-05,7.09E-05,0.308206833,0.691580576,7.09E-05,NA,NA,NA,NA,NA,NA,NA,0.001153408,0.001153408,0.996539775,0.001153408,0.001518994,0.001518994,0.001518994,0.995443018,NA,NA,NA,NA
,902603,The Bay sells decor products,1.802243384,Topic 4.3.,Topic 5.4.,9.71E-05,9.71E-05,0.31950671,0.455909387,0.224389619,NA,NA,NA,NA,NA,NA,NA,0.983962336,0.005345888,0.005345888,0.005345888,0.002188193,0.002188193,0.99343542,0.002188193,0.004088115,0.004088115,0.004088115,0.987735655
,902604,They have stuff to buy,6,Topic 2.,NA,0.000340419,0.998638325,0.000340419,0.000340419,0.000340419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,902608,"The Bay has big home de.cor selection, some free delivery, free returns",2.030366556,Topic 4.2.,Topic 5.1.,8.54E-05,8.54E-05,0.296647226,0.462835336,0.240346643,NA,NA,NA,NA,NA,NA,NA,0.003766283,0.003766283,0.003766283,0.988701152,0.003019641,0.990941078,0.003019641,0.003019641,0.988833996,0.003722001,0.003722001,0.003722001
,902613,The colors in the decor,1.802243384,Topic 4.,NA,0.147110101,0.000193714,0.000193714,0.852308758,0.000193714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,902614,They have everything you need.,1.802243384,Topic 3.3.,NA,0.000433738,0.000433738,0.998265049,0.000433738,0.000433738,NA,NA,NA,NA,NA,NA,NA,0.001153408,0.001153408,0.996539775,0.001153408,NA,NA,NA,NA,NA,NA,NA,NA
,902615,things for the whole house,6,Topic 4.,NA,0.000120158,0.206684053,0.148393479,0.644682151,0.000120158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
